time_s,data,pn,carrier,spread,tx,recovered
3.75e-06,0.0,1.0,1.0,1.0,0.0,0.0
3.8125e-06,0.0,1.0,1.0,1.0,0.0,0.0
3.875e-06,0.0,1.0,1.0,1.0,0.0,0.0
3.9375e-06,0.0,1.0,1.0,1.0,0.0,0.0
4e-06,0.0,1.0,0.0,1.0,1.0,0.0
4.0625e-06,0.0,1.0,0.0,1.0,1.0,0.0
4.125e-06,0.0,1.0,0.0,1.0,1.0,0.0
4.1875e-06,0.0,1.0,0.0,1.0,1.0,0.0
4.25e-06,0.0,1.0,1.0,1.0,0.0,0.0
4.3125e-06,0.0,1.0,1.0,1.0,0.0,0.0
4.375e-06,0.0,1.0,1.0,1.0,0.0,0.0
4.4375e-06,0.0,1.0,1.0,1.0,0.0,0.0
4.5e-06,0.0,0.0,0.0,0.0,0.0,0.0
4.5625e-06,0.0,0.0,0.0,0.0,0.0,0.0
4.625e-06,0.0,0.0,0.0,0.0,0.0,0.0
4.6875e-06,0.0,0.0,0.0,0.0,0.0,0.0
4.75e-06,0.0,0.0,1.0,0.0,1.0,0.0
4.8125e-06,0.0,0.0,1.0,0.0,1.0,0.0
4.875e-06,0.0,0.0,1.0,0.0,1.0,0.0
4.9375e-06,0.0,0.0,1.0,0.0,1.0,0.0
5e-06,0.0,0.0,0.0,0.0,0.0,0.0
5.0625e-06,0.0,0.0,0.0,0.0,0.0,0.0
5.125e-06,0.0,0.0,0.0,0.0,0.0,0.0
5.1875e-06,0.0,0.0,0.0,0.0,0.0,0.0
5.25e-06,0.0,0.0,1.0,0.0,1.0,0.0
5.3125e-06,0.0,0.0,1.0,0.0,1.0,0.0
5.375e-06,0.0,0.0,1.0,0.0,1.0,0.0
5.4375e-06,0.0,0.0,1.0,0.0,1.0,0.0
5.5e-06,0.0,1.0,0.0,1.0,1.0,0.0
5.5625e-06,0.0,1.0,0.0,1.0,1.0,0.0
5.625e-06,0.0,1.0,0.0,1.0,1.0,0.0
5.6875e-06,0.0,1.0,0.0,1.0,1.0,0.0
5.75e-06,0.0,1.0,1.0,1.0,0.0,0.0
5.8125e-06,0.0,1.0,1.0,1.0,0.0,0.0
5.875e-06,0.0,1.0,1.0,1.0,0.0,0.0
5.9375e-06,0.0,1.0,1.0,1.0,0.0,0.0
6e-06,0.0,1.0,0.0,1.0,1.0,0.0
6.0625e-06,0.0,1.0,0.0,1.0,1.0,0.0
6.125e-06,0.0,1.0,0.0,1.0,1.0,0.0
6.1875e-06,0.0,1.0,0.0,1.0,1.0,0.0
6.25e-06,0.0,1.0,1.0,1.0,0.0,0.0
6.3125e-06,0.0,1.0,1.0,1.0,0.0,0.0
6.375e-06,0.0,1.0,1.0,1.0,0.0,0.0
6.4375e-06,0.0,1.0,1.0,1.0,0.0,0.0
